,data_point,count
0,user_reset_progress,1
1,weekly_target_met,22
2,user_streak_v2,131
3,mobile_users,1
4,notifiable_container_completed,81
5,sorting_quiz_result,17
6,user_submit,2496
7,sorting_quiz_answer,16
8,experiment_assignment,23
9,achievement_earned,162
10,course_unenrolled,5
11,payments_coupon_checkout,1
12,payments_cctrial_conversion,1
13,page_career_path_visited,6
14,identity,1
15,user,1
16,mobile_visit,444
17,email_confirm_resend,2
18,user_pro_email_receipt,1
19,mobile_click,502
20,user_meaningful_content_loaded,413
21,project_started,47
22,container_completed,81
23,traits,1
24,users,1
25,external_identities,10
26,payments_cctrial_ended,1
27,ticket,1
28,payments_subscribe,1
29,trial_started,1
30,events,9183
31,user_notification,137
32,user_email_trigger,28
33,email_settings,2
34,organization,1
35,subjectidentity,1
36,recurly_subscriptions,1
37,user_content_completed,1109
38,mobile_sign_in,4
39,notification_clicked,2
40,user_pro_email_welcome,1
41,path_unenrolled,3
42,user_practice_completed,2
43,user_impression,1955
44,user_click,1556
45,password_updated,1
46,user_sign_in,22
47,order_completed,1
48,ad_impression,20
49,user_visit,2240
50,mobile_app_open,151
51,user_gist,3
52,user_pro_creditcard_trial_reminder,1
53,course_enrollments,5
54,path_enrollments,1
55,mobile_submit,278
56,track_events,3
57,notification_fired,144
58,user_workspace_init,1054
59,email_confirmation,1
60,redirect_to_discourse_cohort,2
